#ENGINE=Web Link A
#URL=https://raw.github.com/soranowataru/Mini-Search-Engine-For-JavaScript/main/TSVSample/en/WebLink.tsv
Sorano Wataru's github page	https://github.com/soranowataru	github home page	Home page of this engine.
Sorano Wataru's hobby page	https://soranowataru.ninja.salon/	hobby	Sorano Wataru's hobby web site.
